ProductURL,MainCategory,Brand,BrandTotalProducts,ProductCategory,ProductSubCategory,ProductSubsubCategory,ProductName,ProductPrice
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/sunhats/two-tone-striped-crocheted-cotton-bucket-hat/1647597302653391,Accessories,Brunello Cucinelli,207 Results,Accessories,Hats,Sunhats,Two-tone striped crocheted cotton bucket hat,695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/turtleneck/metallic-cashmere-blend-turtleneck-sweater/1647597295028926,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Metallic cashmere-blend turtleneck sweater,2100
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/vests-and-gilets/cashmere-vest/1647597295028952,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Cashmere vest,9500
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/turtleneck/metallic-cashmere-blend-turtleneck-sweater/13452677153288158,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Metallic cashmere-blend turtleneck sweater,1195
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/cardigans/sequin-embellished-cotton-blend-vest/1647597303765933,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Cardigan,Sequin-embellished cotton-blend vest,1995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/caps/bead-embellished-leather-trimmed-cashmere-baseball-cap/1647597289090686,Accessories,Brunello Cucinelli,207 Results,Accessories,Hats,Caps,Bead-embellished leather-trimmed cashmere baseball cap,1150
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/throws/two-tone-cashmere-blanket/1647597283559014,Home,Brunello Cucinelli,207 Results,Home,Throws and Cushions,N/A,Two-tone cashmere blanket,3460
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/straight-leg/pleated-linen-blend-tapered-pants/1647597303765902,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Straight Leg,Pleated linen-blend tapered pants,1695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/walnut-wood-and-krion-mahjong-set/28941591746158993,Home,Brunello Cucinelli,207 Results,Home,Decorative Objects,N/A,Walnut wood and Krion Mahjong set,8200
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/v-neck/crystal-embellished-linen-and-silk-blend-sweater/38063312420409574,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Crystal-embellished linen and silk-blend sweater,3275
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/knitted/crystal-embellished-cashmere-mittens/1647597289090684,Accessories,Brunello Cucinelli,207 Results,Accessories,Gloves,N/A,Crystal embellished cashmere mittens,695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/glazed-ceramic-vase/13452677150095680,Home,Brunello Cucinelli,207 Results,Home,Decorative Objects,N/A,Glazed ceramic vase,280
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/cardigans/sequin-embellished-cable-knit-linen-blend-cardigan/1647597303765915,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Cardigan,Sequin-embellished cable-knit linen-blend cardigan,1995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/set-of-two-glazed-ceramic-mugs-and-saucers/13452677150094887,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Set of two glazed ceramic mugs and saucers,290
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/blazers/double-breasted-cotton-blend-blazer/38063312420399695,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Double-breasted cotton-blend blazer,3995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/glazed-ceramic-bowl/13452677150094739,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Glazed ceramic bowl,240
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/wide/cummerbund-leather-trimmed-raffia-belt/1647597302653397,Accessories,Brunello Cucinelli,207 Results,Accessories,Belts,N/A,Cummerbund leather-trimmed raffia belt,1275
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/scarves/ribbed-cashmere-scarf/1647597289090682,Accessories,Brunello Cucinelli,207 Results,Accessories,Scarves and Wraps,N/A,Ribbed cashmere scarf,1495
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/textured-ceramic-tray/29419655932738152,Home,Brunello Cucinelli,207 Results,Home,Decorative Objects,N/A,Textured ceramic tray,295
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/wide-leg/duchesse-satin-wide-leg-pants/1647597295028967,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Wide Leg,Duchesse-satin wide-leg pants,2250
