Store Name,Product Category,Proudct SubCategory,Product URL,Product Title,Product Brand,Product Price
samsclub,Appliances,,https://www.samsclub.com/p/irobot-braava-jet-m6s-wifi-connected-robot-mop/P03006740,iRobot Braava Jet m6s (6110) Wi-Fi Connected Robot Mop,iRobot,399.99
samsclub,Appliances,,https://www.samsclub.com/p/salav-gs25-dj-performance-garment-steamer-with-360-swivel-hanger-rose-gold/prod22273852,"SALAV GS25-DJ Performance Garment Steamer with 360 Swivel Hanger, Rose Gold",SALAV,47.98
samsclub,Appliances,,https://www.samsclub.com/p/salav-stm-402-multi-surface-steam-mop-with-led-lights-assorted-colors/prod18810345,SALAV STM-402 Multi-Surface Steam Mop with LED Lights (Assorted Colors),SALAV,64.98
samsclub,Appliances,,https://www.samsclub.com/p/bobsweep-standard-champagne/prod20654166,bObsweep Standard Robotic Vacuum and Mop (Assorted Colors),bObsweep,199.88
samsclub,Appliances,,https://www.samsclub.com/p/bobi-pet-scarlet/prod20933603,bObi Pet Robotic Vacuum Cleaner (Various Colors),bObsweep,259.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-steam-and-scrub-all-in-one-hard-floor-steam-mop/P03008303,Shark Steam & Scrub All-in-One Scrubbing and Sanitizing Hard Floor Steam Mop S7005,Shark,109.98
samsclub,Appliances,,https://www.samsclub.com/p/samsung-stormwashplus-smart-dishwasher/P03007084,Samsung Smart 44dBA Dishwasher with StormWash+ (Choose Color)	,Samsung,895
samsclub,Appliances,,https://www.samsclub.com/p/samsung-top-control-dishwasher-aquablast-dw80r9950/prod22890649,Samsung Top Control Smart Dishwasher w/ AquaBlast (Choose Color),Samsung,1075
samsclub,Appliances,,https://www.samsclub.com/p/lg-gas-range-smart-wifi-enabled-fan-convection-slide-in-air-fry-easy-clean/P03009075,LG 5.8 Cu. Ft. Smart Wi-Fi Enabled Fan Convection Gas Slide-in Range w/ Air Fry & EasyClean,LG,1495
samsclub,Appliances,,https://www.samsclub.com/p/nxr-36-inch-professional-style-dual-fuel-range-convection/prod25172727,NXR Stainless Steel 36 In. Professional Style Dual Fuel Range with Convection Oven,NXR,2995
samsclub,Appliances,,https://www.samsclub.com/p/lg-over-the-range-microwave/P03009086,LG 2 Cu. Ft. Over The Range Microwave,LG,395
samsclub,Appliances,,https://www.samsclub.com/p/samsung-6-3-smart-freestanding-electric-range-rapid-boil-self-clean/prod25401387,Samsung 6.3 Cu. Ft. Smart Freestanding Electric Range w/ Rapid Boil & Self Clean,Samsung,895
samsclub,Appliances,,https://www.samsclub.com/p/6-3-cu-ft-elec-range-easy-clean/prod25170018,LG Smart Wi-Fi Enabled Electric Range,LG,745
samsclub,Appliances,,https://www.samsclub.com/p/6-3-cu-ft-electric-range-convection-air-fryer/prod25170019,LG Fan Convection with Air Fry Electric Range,LG,945
samsclub,Appliances,,https://www.samsclub.com/p/samsung-6-0-cubic-feet-smart-freestanding-gas-range-air-fryer-convection/prod25401399,Samsung 6 Cu. Ft. Smart Freestanding Gas Range Convection Oven & Stainless Cooktop,Samsung,1165
samsclub,Appliances,,https://www.samsclub.com/p/nxr-stainless-steel-48in-gas-range-led/prod23120780,NXR 48 In. LED Professional Style 7.2 Cu. ft. Freestanding  Gas Range,NXR,4995
samsclub,Appliances,,https://www.samsclub.com/p/nxr-36in-range-hood/prod24652720,NXR 36 In. Professional Under Cabinet Range Hood,NXR,445
samsclub,Appliances,,https://www.samsclub.com/p/6-3-cu-ft-elec-range-instaview/prod25170022,LG True Convection InstaView Electric Range,LG,1145
samsclub,Appliances,,https://www.samsclub.com/p/samsung-over-the-range-microwave-cooking-sensor/prod24581099,Samsung 1.9 Cu. Ft. Over The Range Microwave with Sensor Cooking (Choose Color),Samsung,365
samsclub,Appliances,,https://www.samsclub.com/p/forno-galiano-48-inch-pro-style-gas-range-8-italian-burners-double-oven/P03012962,FORNO Galiano 48 in. Pro-Style 8-Burner Italian Burners 107000 BTU Gas Range 6.49 Cu. Ft. Double Gas Oven		,Forno,3995
samsclub,Appliances,,https://www.samsclub.com/p/lg-1-8-cu-ft-smart-over-the-range-microwave/P03009061,LG 1.8 Cu. Ft. Smart Over The Range Microwave,LG,345
samsclub,Appliances,,https://www.samsclub.com/p/lg-6-3-cu-ft-smart-wi-fi-enabled-probake-convection-instaview-electric-slide-in/P03009060,LG 6.3 Cu Ft. Smart Wi-Fi-Enabled ProBake Convection InstaView Electric Slide-In Range,LG,1595
samsclub,Appliances,,https://www.samsclub.com/p/samsung-6-3-cubic-feet-smart-freestanding-electric-range-air-fryer-convection/prod25401391,Samsung 6.3 Cu. Ft. Smart Freestanding Electric Range w/ No-Preheat Air Fry - Convection+ & Griddle (Choose Color),Samsung,1125
samsclub,Appliances,,https://www.samsclub.com/p/thor-48inch-range/prod24540053,"Thor Kitchen 48"" Freestanding Gas Range w/ Convection",Thor Kitchen,4895
samsclub,Appliances,,https://www.samsclub.com/p/cooking-electric-ranges/prod25401389,Samsung 6.3 Cu. Ft. Smart Freestanding Electric Range (Choose Color),Samsung,985
samsclub,Appliances,,https://www.samsclub.com/p/forno-glaiano-pro-style-stainless-steel-gas-range-6-italian-burners-convection/P03012967,FORNO Galiano 5.36 Cu. Ft. Pro-Style Gas Range Convection Oven		,Forno,2495
samsclub,Appliances,,https://www.samsclub.com/p/lg-6-3-cu-ft-smart-wi-fi-enabled-fan-convection-electric-slide-in-range/P03009107,LG 6.3 Cu Ft. Smart Wi-Fi-Enabled Fan Convection Electric Slide-in Range,LG,1395
samsclub,Appliances,,https://www.samsclub.com/p/samsung-bespoke-6-3-cu-ft-electric-slide-in-smart-dial-air-fry/P03012115,Samsung Bespoke 6.3 Cu.Fu. Electric Slide-in Range w/ Smart Dial & Air Fry,Samsung,2205
samsclub,Appliances,,https://www.samsclub.com/p/forno-range-hood-30-inch-stainless-steel-frhwm5029-30hb/P03012957,"FORNO 30"" SavonaRange Hood w/ Infra-Red Warming Lamp & Dual Utensil Hanger",Forno,1495
samsclub,Appliances,,https://www.samsclub.com/p/forno-48-inch-savona-stainless-steel-rang-hood/P03012961,FORNO 48 in. Savona 1200 CFM Stainless Steel Range Hood,Forno,1895
samsclub,Appliances,,https://www.samsclub.com/p/nxr-stainless-steel-36in-gas-range-led/prod23120779,NXR 36 In. Professional Style 5.5 Cu. Ft. Freestanding Gas Range,NXR,2795
samsclub,Appliances,,https://www.samsclub.com/p/samsung-6-3-cu-ft-electric-range/prod24810323,Samsung 6.3 Cu. Ft. Slide-in Electric Range w/ Air Fry (Choose Color),Samsung,1665
samsclub,Appliances,,https://www.samsclub.com/p/thor-36inch-range/prod24540052,"Thor Kitchen 36"" Freestanding Gas Range w/ Convection",Thor Kitchen,2995
samsclub,Appliances,,https://www.samsclub.com/p/thor-kitchen-36in-gas-rangetop-stainless-steel-6-burners/prod23680281,"Thor Kitchen 36"" Gas Rangetop in Stainless Steel w/ 6 Burners",Thor Kitchen,1295
samsclub,Appliances,,https://www.samsclub.com/p/nxr-48-in-range/prod25172732,NXR Stainless Steel 48 In. Professional Style Liquid Propane Range with Convection Oven,NXR,5195
samsclub,Appliances,,https://www.samsclub.com/p/samsung-bespoke-6-3-cu-ft-electric-slide-in-smart-dial-air-fry/P03012116,Samsung Bespoke 6.3 Cu. Ft. Smart Slide-in Electric Range  w/ Smart Dial & Air Fry	,Samsung,2115
samsclub,Appliances,,https://www.samsclub.com/p/nxr-48in-range-hood/prod24652721,NXR 48-in. Professional Stainless-Steel Under Cabinet Range Hood,NXR,545
samsclub,Appliances,,https://www.samsclub.com/p/thor-30inch-range/prod24540051,"Thor Kitchen 30"" Freestanding Gas Range w/ Convection",Thor Kitchen,1995
